,Parameter,Coefficient,SE,CI,CI_low,CI_high,t,df_error,p
1,(Intercept),0.906432480876019,0.0529871916122384,0.95,0.79682012369263,1.01604483805941,17.1066337598964,23,1.41462442208551e-14
2,MicrobiomeSPF,0.209366482407002,0.0675456810003209,0.95,0.0696375953547509,0.349095369459253,3.09962797482207,23,0.00505203935242754
3,GenotypeWT,0.210144407008212,0.0675456810003209,0.95,0.0704155199559609,0.349873294060463,3.11114498952514,23,0.00491597071632212
4,MicrobiomeSPF:GenotypeWT,-0.325943370291233,0.0930424506937678,0.95,-0.518416344010935,-0.133470396571531,-3.50316836950067,23,0.00191322708306941
