,Level1,Level2,Difference,CI_low,CI_high,SE,df,t,p
1,GF WT,GF ASO,-26.0186752060788,-84.3766622316632,32.3393118195057,20.75066155431,32,-1.25387208200476,0.262765869268202
2,GF WT,SPF ASO,-95.3609204407646,-156.875639995232,-33.8462008862973,21.8731178223032,32,-4.35973148480592,0.000757407805742781
3,SPF ASO,GF ASO,69.3422452346858,10.9842582091013,127.70023226027,20.75066155431,32,3.34168841090674,0.00572121096442762
4,SPF WT,GF ASO,2.31348424183571,-52.7069535744141,57.3339220580855,19.5639113322128,32,0.118252643990798,0.906606665157121
5,SPF WT,GF WT,28.3321594479145,-30.02582757767,86.6901464734989,20.75066155431,32,1.36536174395027,0.262765869268202
6,SPF WT,SPF ASO,-67.0287609928501,-125.386748018435,-8.67077396726563,20.75066155431,32,-3.23019874896123,0.00572121096442762
