,Parameter,Coefficient,SE,CI,CI_low,CI_high,t,df_error,p
1,(Intercept),124.831975766049,12.4373315007768,0.95,99.4979605284501,150.165991003648,10.0368777465047,32,2.07170627466504e-11
2,MicrobiomeSPF,53.5064448782362,18.6559972511652,0.95,15.5054220218378,91.5074677346346,2.86805600139624,32,0.00725234769736029
3,GenotypeWT,-17.5347442857099,18.6559972511652,0.95,-55.5357671421083,20.4662785706886,-0.939898524299723,32,0.35431079333834
4,MicrobiomeSPF:GenotypeWT,-33.7792316616028,26.383564332193,0.95,-87.5207935691715,19.9623302459659,-1.28031342680965,32,0.209638195361434
