,Level1,Level2,Difference,CI_low,CI_high,SE,df,t,p
1,GF WT,GF ASO,-3.51636648382058,-12.1559184536652,5.12318548602404,3.07201169959002,32,-1.14464618877912,0.521690826852055
2,GF WT,SPF ASO,-6.11423213671843,-15.019678469139,2.79121419570219,3.16655718013572,32,-1.93087690791561,0.374391474535778
3,SPF ASO,GF ASO,2.59786565289785,-6.30758067952277,11.5033119853185,3.16655718013572,32,0.820406992551608,0.603302263183366
4,SPF WT,GF ASO,-1.48679162829318,-9.90758525642965,6.93400199984329,2.9942266260751,32,-0.496552804435549,0.622898490531294
5,SPF WT,GF WT,2.0295748555274,-6.39121877260907,10.4503684836639,2.9942266260751,32,0.677829406048603,0.603302263183366
6,SPF WT,SPF ASO,-4.08465728119103,-12.7780387560627,4.60872419368062,3.09115214458108,32,-1.32140285891512,0.521690826852055
