,Level1,Level2,Difference,CI_low,CI_high,SE,df,z,p
1,ASO GF,ASO SPF,-0.230010090862887,-0.497585388431505,0.0375652067057295,0.101421229937898,Inf,-2.26786927158867,0.0700115272172306
2,ASO GF,WT GF,-0.0964430756878759,-0.363910948787417,0.171024797411666,0.101380511972233,Inf,-0.951297974449865,0.409743761914215
3,ASO GF,WT SPF,0.0871167275582502,-0.200152395820318,0.374385850936818,0.108885940073615,Inf,0.800073246365443,0.423668360703492
4,ASO SPF,WT SPF,0.317126818421138,0.016098694766689,0.618154942075586,0.114101125269617,Inf,2.77934873711173,0.0326808087318618
5,WT GF,ASO SPF,-0.133567015175012,-0.41571441345439,0.148580383104367,0.106944611170373,Inf,-1.24893637662796,0.317532518001763
6,WT GF,WT SPF,0.183559803246126,-0.117398231739371,0.484517838231623,0.11407455899435,Inf,1.60912130508624,0.215179638999599
