,Level1,Level2,Difference,CI_low,CI_high,SE,df,z,p
1,ASO GF,ASO SPF,-2.37964984685931,-15.1340948177263,10.3747951240076,4.8344204710782,Inf,-0.492230632626084,0.677631292370249
2,ASO GF,WT GF,-4.51367533673436,-17.2924940079008,8.26514333443206,4.84365903190565,Inf,-0.931873054441353,0.527103201770007
3,ASO GF,WT SPF,-24.6433041343677,-39.5339984372879,-9.75260983144749,5.64414033939038,Inf,-4.36617494472673,7.58647333808143e-05
4,ASO SPF,WT SPF,-22.2636542875084,-37.8163710026076,-6.71093757240914,5.89507205057509,Inf,-3.77665516154912,0.000476845666341118
5,WT GF,ASO SPF,2.13402548987505,-11.4097336571887,15.6777846369388,5.13360060947184,Inf,0.415697607238403,0.677631292370249
6,WT GF,WT SPF,-20.1296287976333,-35.6541990527029,-4.6050585425638,5.88440347010242,Inf,-3.42084442372253,0.00124854065214679
