,Level1,Level2,Difference,CI_low,CI_high,SE,df,t,p
1,GF ASO,GF WT,-65345.8212499997,-1702084.55796922,1571392.91546922,585259.241422416,35,-0.11165277987099,0.971182295574922
2,GF ASO,SPF ASO,-280091.18325,-1950932.30623801,1390749.93973801,597453.451940325,35,-0.468808377188816,0.971182295574922
3,GF ASO,SPF WT,-85369.5832499998,-1756210.70623801,1585471.53973801,597453.451940324,35,-0.142889095330772,0.971182295574922
4,GF WT,SPF WT,-20023.7620000001,-1559089.61042982,1519042.08642982,550333.715909182,35,-0.0363847633193247,0.971182295574922
5,SPF ASO,GF WT,214745.362,-1324320.48642982,1753811.21042982,550333.715909182,35,0.390209350784967,0.971182295574922
6,SPF ASO,SPF WT,194721.6,-1380562.51780022,1770005.71780022,563284.516413752,35,0.345689601481909,0.971182295574922
