,Parameter,Coefficient,SE,CI,CI_low,CI_high,t,df_error,p
1,(Intercept),89.845,2.94049910925206,0.95,83.8691868305689,95.8208131694312,30.554336750965,34,2.62359734137646e-26
2,MicrobiomeSPF,0.411999999999993,3.94509353763912,0.95,-7.60539468061192,8.4293946806119,0.104433518766845,34,0.917438964784079
3,GenotypeWT,1.42590909090909,3.86457295322443,0.95,-6.42784807413901,9.27966625595718,0.368969381136762,34,0.71443837464105
4,MicrobiomeSPF:GenotypeWT,-8.05846464646464,5.43488371716686,0.95,-19.1034772394573,2.98654794652797,-1.48272991030348,34,0.147356875593229
