,Parameter,Coefficient,SE,CI,CI_low,CI_high,t,df_error,p
1,(Intercept),11.2211657240163,1.00163703242764,0.95,9.18089785462,13.2614335934126,11.2028263340263,32,1.31175470164217e-12
2,MicrobiomeSPF,0.0227784026489748,1.46012433804529,0.95,-2.95139754711308,2.99695435241103,0.0156003170794817,32,0.987650114044153
3,GenotypeWT,0.685652256696764,1.4165286758343,0.95,-2.19972223507751,3.57102674847104,0.484036976020221,32,0.631655892021553
4,MicrobiomeSPF:GenotypeWT,0.115953583698414,2.00952454514495,0.95,-3.97731396680883,4.20922113420566,0.0577019992010347,32,0.954344817565189
