,Parameter,Coefficient,SE,CI,CI_low,CI_high,t,df_error,p
1,(Intercept),1.22258245067055,0.0759965248458345,0.95,1.06537166118282,1.37979324015829,16.0873467984314,23,5.23376349834074e-14
2,MicrobiomeSPF,-0.00993097499618172,0.0968769407885373,0.95,-0.210336195832505,0.190474245840141,-0.102511236578569,23,0.919239423840984
3,GenotypeWT,-0.0793079479925161,0.0968769407885372,0.95,-0.279713168828839,0.121097272843807,-0.818646288239317,23,0.421389733808014
4,MicrobiomeSPF:GenotypeWT,-0.133343527681853,0.13344551203263,0.95,-0.409396601724421,0.142709546360714,-0.99923576035474,23,0.328077895343703
