,Level1,Level2,Difference,CI_low,CI_high,SE,df,t,p
1,GF WT,GF ASO,-0.144448280431003,-0.434099120956393,0.145202560094388,0.100354944072616,23,-1.43937383220981,0.245275045222388
2,GF WT,SPF ASO,-0.180252986984366,-0.434293579466181,0.0737876054974496,0.0880171084759963,23,-2.04793125001969,0.104302280923862
3,SPF ASO,GF ASO,0.0358047065533633,-0.253846133972028,0.325455547078754,0.100354944072616,23,0.356780693609428,0.724508462331714
4,SPF WT,GF ASO,-0.245411834475099,-0.553070270388181,0.062246601437983,0.106594011857595,23,-2.30230413696183,0.092125165248344
5,SPF WT,GF WT,-0.100963554044097,-0.375358755168188,0.173431647079995,0.0950693428427614,23,-1.06199907378222,0.359112708566393
6,SPF WT,SPF ASO,-0.281216541028462,-0.555611742152554,-0.00682133990437128,0.0950693428427614,23,-2.95801498800277,0.0423050613902686
