,Parameter,Coefficient,SE,CI,CI_low,CI_high,t,df_error,p
1,(Intercept),29.011828966693,3.20476964333263,0.95,22.4839268220801,35.539731111306,9.05270337512425,32,2.4410500749741e-10
2,MicrobiomeSPF,6.69455678635709,4.67171440608327,0.95,-2.82141405851684,16.210527631231,1.4329978685426,32,0.161556666731226
3,GenotypeWT,-4.06883534616411,4.53222869388259,0.95,-13.3006830929202,5.16301240059197,-0.897755965328061,32,0.376020909482411
4,MicrobiomeSPF:GenotypeWT,-4.38567102423237,6.42953789777897,0.95,-17.4822111512587,8.71086910279399,-0.682112944034028,32,0.500075473008285
