,Level1,Level2,Difference,CI_low,CI_high,SE,df,t,p
1,GF WT,GF ASO,0.685652256696764,-3.29811288107237,4.6694173944659,1.4165286758343,32,0.484036976020221,0.979356316293926
2,GF WT,SPF ASO,0.66287385404779,-3.44349725862107,4.76924496671665,1.46012433804529,32,0.453984524999562,0.979356316293926
3,SPF ASO,GF ASO,0.0227784026489748,-4.08359271001988,4.12914951531783,1.46012433804529,32,0.0156003170794817,0.987650114044153
4,SPF WT,GF ASO,0.824384243044153,-3.05850970854138,4.70727819462969,1.38066136868815,32,0.597093727499198,0.979356316293926
5,SPF WT,GF WT,0.138731986347389,-3.74416196523814,4.02162593793292,1.38066136868815,32,0.10048226849369,0.987650114044153
6,SPF WT,SPF ASO,0.801605840395178,-3.20698050410534,4.8101921848957,1.42535448505947,32,0.562390513235543,0.979356316293926
