,Parameter,Coefficient,SE,CI,CI_low,CI_high,t,df_error,p
1,(Intercept),4.44787695220868,0.146398821461632,0.95,4.14967231133022,4.74608159308714,30.381917749074,32,3.58784522234635e-25
2,MicrobiomeSPF,0.38292543108569,0.219598232192448,0.95,-0.0643815302320002,0.830232392403381,1.74375461615788,32,0.090803152334871
3,GenotypeWT,0.197059455367571,0.219598232192448,0.95,-0.25024750595012,0.644366416685262,0.897363578022226,32,0.37622701639786
4,MicrobiomeSPF:GenotypeWT,-0.354513340365753,0.310558798239716,0.95,-0.987100911605129,0.278074230873622,-1.14153372042646,32,0.262118522488672
