,mu,sigma,omega
0,1.9992574331454158,0.38984449242483793,0.9333333157963006
1,1.91496131151818,0.6112543358284941,0.9335028763235707
2,1.770709733590182,0.5217224146323324,0.9999999683533624
3,2.1351242060889946,0.49906191196184146,0.9333736143299461
4,2.0042750881453695,0.6439128034859578,0.933879957513894
5,1.8922732990863897,0.49276020448904,0.9333369527271717
6,1.8801846762900603,0.5960894561152316,0.9334283016457426
7,1.9244583657097467,0.5629393554582264,0.9333874056728652
8,1.822852457582491,0.46912940493717414,0.9999999683533624
9,1.940517821413199,0.44620720426019794,0.9333339274178307
10,2.054646535215485,0.6696115032302911,0.9344135041382908
11,1.9362132328408392,0.5954504922113097,0.9334684616642127
12,1.6076696311822052,0.6690643463928664,0.8667540824765528
13,1.8180309926133051,0.4270070359117791,0.9999999683533624
14,2.065092263427436,0.5768644675877534,0.8668552442256694
15,1.8852191174783308,0.6226528106087876,0.9999999683533624
16,1.8192534157809757,0.7181749228881757,0.9340503511768208
17,1.930563706690907,0.6933133320103366,0.8674485637231256
18,2.0079938669761956,0.7132233957574742,0.8681608375644796
19,2.0739580358525713,0.5616449426902576,0.9999999683533624
20,1.8678515826531854,0.41400850268940736,0.9333333150716363
21,2.0369905943117224,0.5975104028352957,0.8669157764819022
22,2.242534023912968,0.5514974780940354,0.8670071841410428
23,1.7418309369216902,0.3731300461378117,0.9333332800258778
24,1.814557265678997,0.6060486869686085,0.8000633567118404
25,2.085661485978533,0.6209542080859961,0.9339016788955339
26,1.6631089960678802,0.6426970513819186,0.7333907639504643
27,1.9512062162121864,0.43017811683116075,0.9999999683533624
28,2.046878419747174,0.8459887666828665,0.9406283387668394
29,1.8342968171063525,0.5053051932294854,0.9333368863914376
30,2.0094000154360385,0.7078503799799787,0.9348393064462893
31,2.0509582913383064,0.7348171791308223,0.8690230328578231
32,2.0529593167099396,0.43366991941162547,0.9999999683533624
33,1.842716536826741,0.42293779323800634,0.9333333273577843
34,1.9286090107933327,0.5305589866155401,0.8666859375232873
35,2.0003948237516984,0.6727588417410949,0.8674712807383026
36,1.8622777033050413,0.5132331517103181,0.8000013255292586
37,2.0912505394038434,0.415936575966361,0.9333339643916188
38,2.0522536063856425,0.4984916972516555,0.9999999683533624
39,1.8033230506816513,0.598933486763378,0.9999999683533624
40,1.869290083806819,0.5443353901842117,0.9333536214599064
41,1.759024981833055,0.6286999955453144,0.9334283119093902
42,1.8692552489087177,0.6290680613572218,0.9335221176628854
43,1.9081822569159566,0.5019274790122307,0.9999999683533624
44,1.7893617091777063,0.6967516458331466,0.7336778300577573
45,2.074927929394535,0.6061403583030409,0.9999999683533624
46,1.9578024367031561,0.6308684549833602,0.9336635787492296
47,2.3960612123969525,0.549588110911876,0.9342714482326454
48,1.6301988633188575,0.8369260979413535,0.9999999683533624
49,1.9925131313842563,0.5635001876565784,0.9334227063802819
50,1.8417131481797315,0.6280111234957794,0.8668116045697476
51,1.8229526419042712,0.4691530526757655,0.9999999683533624
52,1.8918770566500298,0.39960298892988616,0.8666666035985102
53,2.1363096817328966,0.5868244644866452,0.8003352316327689
54,1.95897772684036,0.7483364608050126,0.9999999683533624
55,2.1027879219162195,0.5744467922893556,0.9335790279622377
56,1.844915410167665,0.46157028388537,0.9333337915142618
57,2.173362523234849,0.6453235929364167,0.8011626882207981
58,1.968891505130597,0.6129378201903952,0.9335784141503083
59,2.085140640401249,0.49824546092723343,0.8666904957834347
60,1.952761790031159,0.6629807794081191,0.9999999683533624
61,2.060981970081847,0.5094153535068144,0.9999999683533624
62,1.836142987102802,0.4617855790250281,0.9333337498996872
63,1.8200416992947557,0.4371326133143928,0.9333333714916189
64,1.9104386525239632,0.8046529257086211,0.9364404389117219
65,1.8953131736089892,0.4051716777557572,0.9999999683533624
66,2.161405734629272,0.4150219619494233,0.8666680543531545
67,2.033079452348326,0.4107442828674591,0.9999999683533624
68,1.993492256451304,0.4618852904300884,0.9999999683533624
69,1.842097598677844,0.5617331031118464,0.8666929598099298
70,1.8625513503730606,0.5455112727147144,0.9333533132805495
71,1.9208241679703777,0.550068435492688,0.9999999683533624
72,2.0304677311378514,0.6524512904532339,0.9999999683533624
73,1.940741704467754,0.4097630112400175,0.8000000591212839
74,2.0754780808789737,0.42696086847997056,0.8000009050282646
75,2.086288372545554,0.5502372448595607,0.8667804870915625
76,1.9810283405854507,0.4653032832412,0.8666690052546547
77,2.0834618435673997,0.6756195868308926,0.9346946319401657
78,2.3112938810785257,0.3537024276284871,0.9333334962186389
79,2.098327295925189,0.4925950129243884,0.9999999683533624
80,1.8719862529983473,0.37614842083170724,0.9333332815238754
81,1.9401696759659273,0.5322609341334918,0.9999999683533624
82,1.8646521625230774,0.6566446133634648,0.8669634706523758
83,1.8908381818976083,0.7357084936311202,0.9999999683533624
84,2.0655953339760034,0.38930940363386657,0.8000000752042071
85,2.0896401854502376,0.46178723127440274,0.8666727296744235
86,1.9175942333993012,0.44120565921218874,0.9333336563946769
87,1.989550656024307,0.5841923246579569,0.9999999683533624
88,1.7848939054311654,0.426462657713318,0.9999999683533624
89,2.1507323024558347,0.5705507669999583,0.9999999683533624
90,1.784871247258264,0.524469599352257,0.9999999683533624
91,1.7224596879174592,0.5418802952899032,0.9999999683533624
92,1.918707664551645,0.4456709901645755,0.9333337711431973
93,1.9257828807541923,0.6107551932548912,0.8668331710103669
94,2.196980560511545,0.4997966588629454,0.9999999683533624
95,1.9183474464752783,0.5637531467716039,0.9333862506977757
96,1.9899138769345623,0.5820132468743895,0.8667963696733124
97,1.9978581620565226,0.7229683854232435,0.9350785968716997
98,2.41815640604938,0.6176502578241787,0.9364430953595273
99,2.0576267997294555,0.4580949976987022,0.9333373601800161
100,1.876924992233556,0.5826563453329185,0.8667278686312525
101,2.1281226746703976,0.6420459305312175,0.9999999683533624
102,1.8373349557983898,0.751028530038556,0.9345710377053527
103,2.090187109506816,0.29928560046308017,0.8000000001684091
104,1.809416552364037,0.6083623110045686,0.8667414560038977
105,2.062795377409371,0.7210923820922219,0.8019372133843148
106,2.0777271747006876,0.7289469122930705,0.935982137449364
107,2.005549459270543,0.6692564557801516,0.8007173560651017
108,2.2074299585165873,0.7513052262059778,0.8048414450393956
109,2.064529851708814,0.6478118260039887,0.9341403398667285
110,1.9965029435474835,0.3602596604466152,0.8666665906981388
111,1.9094948090714268,0.42739446940304376,0.8666667263275748
112,2.268011686917457,0.7189338472486663,0.9999999683533624
113,1.7747918765125437,0.4429584685888344,0.9333333562181255
114,2.1159440408161565,0.6922376631822086,0.868518235664188
115,2.0341948864711816,0.4495901565579679,0.9999999683533624
116,2.106907334870115,0.5313752825053507,0.9334191254480402
117,2.0298689552242326,0.4746471498439624,0.9999999683533624
118,1.7699612049152211,0.5322291989386064,0.9333391527408788
