,Comparison,Z,P_adjusted
1,ASO_GF_A - ASO_GF_V,2.05921941895093,0.0296049177934773
2,ASO_GF_A - WT_GF_V,2.35339362165821,0.0279043948517036
3,ASO_GF_V - WT_GF_V,0.294174202707276,0.384312396101073
