,WT_V,ASO_V,WT_NAC,ASO_NAC,KruskalWallis p-val,KruskalWallis statistic
WT_V,1.0,2.2893011343671924e-07,0.29818468565527323,0.0009703975099850037,2.992469227467702e-06,28.400683808941274
ASO_V,2.2893011343671924e-07,1.0,6.672406985887291e-09,0.003044230294859292,2.992469227467702e-06,28.400683808941274
WT_NAC,0.29818468565527323,6.672406985887291e-09,1.0,2.633156423949066e-05,2.992469227467702e-06,28.400683808941274
ASO_NAC,0.0009703975099850037,0.003044230294859292,2.633156423949066e-05,1.0,2.992469227467702e-06,28.400683808941274
