,mu,sigma,omega
0,2.96941855411854,0.23950919699040663,0.5002841953171745
1,2.5254888163411775,0.434586109816655,0.6667885620065057
2,2.546177333278631,0.19173413123571392,0.3333721031278713
3,2.7357657594711298,0.3612968751483141,0.9167444617462661
4,2.315386810032109,0.44615533840531196,0.7503471784463045
5,2.6034108139216614,0.5389271802940901,0.5852467248920438
6,2.7163255090037364,0.5466313864589752,0.5868686141991621
7,3.2752646468485533,0.7666318745044918,0.3895065267421087
8,2.716338315524589,0.3337460869002829,0.7502529200413899
9,2.4531958053285603,0.3920616257329165,0.5010157043670432
10,2.6162136023495273,0.5199150104434338,0.5017723817823257
11,2.793612461545456,0.3752393680437737,0.5835755932468684
12,2.351339280865194,0.4760514528725771,0.5842688606390091
13,2.5615157166183598,0.36742799326239417,0.6666945728548452
14,2.743144351406719,0.5149454078575594,0.753249525350401
15,2.71323115713371,0.4790142019664155,0.7515316732476528
16,2.545192795223638,0.5597523017351929,0.5021430090016309
17,2.4080222902871973,0.4953011942295008,0.5008080211564303
18,2.9112145044393944,0.31036434034859034,0.33245592071412833
19,2.52495503256242,0.450323971233952,0.6668428242886155
20,2.3710168055679257,0.47183774990060784,0.5843217834593796
21,2.751787663767014,0.14182072791685907,0.2500002142754412
22,2.736569012097051,0.4240876028832929,0.6656393373496248
23,2.8419150127181925,0.3613999875913218,0.583813382578734
24,2.52940749828109,0.16844319946316627,0.25000055169567426
25,2.4709458949609524,0.32110387226002257,0.6666482479212176
26,2.426998480463899,0.3173583783640513,0.5833953277979805
27,2.3447031967761887,0.22996017454277345,0.4167299404908249
28,2.7988186233778944,0.3294176998193949,0.8335200924678752
29,2.7457618482678767,0.3681997813947989,0.6654113207404496
30,2.5783058040037465,0.3112090645304888,0.5000675998625317
31,2.7450214651637928,0.4450498080158464,0.5842410806741611
32,2.7524229949863264,0.3716410607062789,0.833794542976008
33,2.651081418725312,0.3384170160414106,0.6666812769793561
34,2.68450124336895,0.30103717905124,0.833342712325967
35,2.492686596935976,0.44464371385655604,0.7504485899631995
36,2.6343471312465763,0.31389567737356955,0.5012553353380375
