,WT_V,ASO_V,WT_A,ASO_A,KruskalWallis p-val,KruskalWallis statistic
WT_V,1.0,0.08021250939663961,0.14674513736907754,0.09592411934285738,0.05034378283789994,7.799437622935994
ASO_V,0.08021250939663961,1.0,0.6735368040104124,0.856894854763896,0.05034378283789994,7.799437622935994
WT_A,0.14674513736907754,0.6735368040104124,1.0,0.7163629857626107,0.05034378283789994,7.799437622935994
ASO_A,0.09592411934285738,0.856894854763896,0.7163629857626107,1.0,0.05034378283789994,7.799437622935994
