,Parameter,Coefficient,SE,CI,CI_low,CI_high,t,df_error,p
1,(Intercept),5860382.79875,445315.51064349,0.95,4956344.2500198,6764421.3474802,13.1600688920124,35,4.09891186228977e-15
2,MicrobiomeSPF,280091.18325,597453.451940325,0.95,-932803.806294588,1492986.17279459,0.468808377188816,35,0.642113626971084
3,GenotypeWT,65345.8212499997,585259.241422416,0.95,-1122793.60484343,1253485.24734343,0.11165277987099,35,0.911736593119647
4,MicrobiomeSPF:GenotypeWT,-260067.42125,812291.712441914,0.95,-1909107.26673038,1388972.42423038,-0.320165055566287,35,0.750746803282161
