,Parameter,Coefficient,SE,CI,CI_low,CI_high,t,df_error,p
1,(Intercept),791,28.6853255549167,0.95,732.765693166521,849.234306833479,27.5750748753284,35,2.4953200938125e-25
2,MicrobiomeSPF,95.695,38.4854027385034,0.95,17.5654787786567,173.824521221343,2.48652718149316,35,0.0178184486719823
3,GenotypeWT,57.3818181818181,37.6999037153818,0.95,-19.153055245053,133.916691608689,1.52206803006783,35,0.136976583770297
4,MicrobiomeSPF:GenotypeWT,-110.366818181818,52.3243670162913,0.95,-216.590930502272,-4.14270586136443,-2.1092814777378,35,0.0421447558461669
