,Parameter,Coefficient,SE,CI,CI_low,CI_high,t,df_error,p
1,(Intercept),0.914790099210938,0.021397991894315,0.95,0.870413380114089,0.959166818307787,42.7512125310216,22,1.13972089932292e-22
2,MicrobiomeSPF,0.053430831910406,0.0314969912383686,0.95,-0.0118899299388557,0.118751593759668,1.69637891778432,22,0.103920273421207
3,GenotypeWT,0.000152737037111138,0.0302613303444898,0.95,-0.0626054209632732,0.0629108950374954,0.00504726776293064,22,0.996018368995498
4,MicrobiomeSPF:GenotypeWT,0.0316263318748781,0.0445434721832474,0.95,-0.0607511754368909,0.124003839186647,0.710010475716183,22,0.485156158280008
