,Level1,Level2,Difference,CI_low,CI_high,SE,df,t,p
1,GF WT,GF ASO,0.0248378567142858,-0.0844850198863268,0.134160733314898,0.0377165719576737,22,0.658539613360391,0.517024754830274
2,GF WT,SPF ASO,-0.0288419041595238,-0.142628761751187,0.0849449534321396,0.0392566527303535,22,-0.734701054560952,0.517024754830274
3,SPF ASO,GF ASO,0.0536797608738096,-0.0601070967178538,0.167466618465473,0.0392566527303535,22,1.36740544953044,0.277960875919749
4,SPF WT,GF ASO,0.114171802157143,0.000384944565479522,0.227958659748806,0.0392566527303535,22,2.90834277036729,0.048886872225274
5,SPF WT,GF WT,0.0893339454428571,-0.0244529121488063,0.203120803034521,0.0392566527303535,22,2.2756383753978,0.0988797192190983
6,SPF WT,SPF ASO,0.0604920412833333,-0.057590161325435,0.178574243892102,0.0407385538150874,22,1.48488435691427,0.277960875919749
