,Parameter,Coefficient,SE,CI,CI_low,CI_high,t,df_error,p
1,(Intercept),0.885828197942857,0.0266696437943814,0.95,0.830518741947096,0.941137653938619,33.214849241049,22,2.70853194788508e-20
2,MicrobiomeSPF,0.0536797608738096,0.0392566527303535,0.95,-0.0277335539597316,0.135093075707351,1.36740544953044,22,0.185307250613166
3,GenotypeWT,0.0248378567142858,0.0377165719576737,0.95,-0.0533815260823979,0.103057239510969,0.658539613360391,22,0.517024754830274
4,MicrobiomeSPF:GenotypeWT,0.0356541845690475,0.0555172907046368,0.95,-0.0794816294262972,0.150789998564392,0.642217660777703,22,0.527368096600887
