,Level1,Level2,Difference,CI_low,CI_high,SE,df,t,p
1,GF WT,GF ASO,0.000152737037111138,-0.0875608464437426,0.0878663205179648,0.0302613303444898,22,0.00504726776293064,0.996018368995498
2,GF WT,SPF ASO,-0.0532780948732949,-0.144573287085009,0.0380170973384188,0.0314969912383686,22,-1.69152965977249,0.157281504487854
3,SPF ASO,GF ASO,0.053430831910406,-0.0378643603013077,0.14472602412212,0.0314969912383686,22,1.69637891778432,0.157281504487854
4,SPF WT,GF ASO,0.0852099008223952,-0.00608529138931843,0.176505093034109,0.0314969912383686,22,2.70533461998095,0.0391930934980921
5,SPF WT,GF WT,0.0850571637852841,-0.00623802842642962,0.176352355996998,0.0314969912383686,22,2.70048536196912,0.0391930934980921
6,SPF WT,SPF ASO,0.0317790689119892,-0.0629624294659381,0.126520567289917,0.03268597252525,22,0.972254042232943,0.409792154709261
