,Parameter,Coefficient,SE,CI,CI_low,CI_high,t,df_error,p
1,(Intercept),147.4725,8.29970816475675,0.95,130.623196652563,164.321803347437,17.7683958366411,35,4.29350691298236e-19
2,MicrobiomeSPF,0.0344999999999848,11.1352269898837,0.95,-22.5712125950301,22.64021259503,0.00309827541291506,35,0.997545530241111
3,GenotypeWT,2.98931818181816,10.9079535485162,0.95,-19.1550047980111,25.1336411616474,0.274049405190654,35,0.785657618819507
4,MicrobiomeSPF:GenotypeWT,-14.6913181818182,15.1393427733438,0.95,-45.4258179744828,16.0431816108465,-0.970406602305455,35,0.338502639633369
