,Level1,Level2,Difference,CI_low,CI_high,SE,df,t,p
1,GF ASO,GF WT,-1.42590909090909,-12.2526074005233,9.40078921870514,3.86457295322443,34,-0.368969381136762,0.917438964784079
2,GF ASO,SPF ASO,-0.411999999999993,-11.4642787516769,10.6402787516769,3.94509353763912,34,-0.104433518766845,0.917438964784079
3,GF ASO,SPF WT,6.22055555555557,-5.10133058949759,17.5424417006087,4.0413294731603,34,1.53923494653632,0.266005987711099
4,GF WT,SPF WT,7.64646464646465,-2.82621867451046,18.1191479674398,3.73820785917578,34,2.0454894255534,0.266005987711099
5,SPF ASO,GF WT,-1.01390909090909,-11.1945208438762,9.16670266205799,3.63395337181029,34,-0.279009934132425,0.917438964784079
6,SPF ASO,SPF WT,6.63255555555556,-4.07317026097807,17.3382813720892,3.82139201186318,34,1.73563861937361,0.266005987711099
