,Level1,Level2,Difference,CI_low,CI_high,SE,df,t,p
1,GF WT,GF ASO,-14.14086703683,-35.9913542003678,7.70962012670779,7.76949458055485,32,-1.82004979734733,0.0937402487058476
2,GF WT,SPF ASO,-33.6128268946953,-56.6452627017125,-10.5803910876781,8.18976638096263,32,-4.10424734127085,0.00156643589093372
3,SPF ASO,GF ASO,19.4719598578653,-2.37852730567253,41.3224470214031,7.76949458055485,32,2.50620676235477,0.0496044984203629
4,SPF WT,GF ASO,1.17234878311833,-19.4284880776379,21.7731856438746,7.32514973906996,32,0.160044343785275,0.873852141234728
5,SPF WT,GF WT,15.3132158199484,-6.53727134358946,37.1637029834862,7.76949458055485,32,1.97094105172215,0.0861477656989474
6,SPF WT,SPF ASO,-18.299611074747,-40.1500982382848,3.55087608879085,7.76949458055485,32,-2.35531550797994,0.0496044984203629
