,Level1,Level2,Difference,CI_low,CI_high,SE,df,t,p
1,GF ASO,GF WT,-0.397954545454546,-2.35458983472465,1.55868074381556,0.699646717859162,35,-0.56879355722877,0.687753935010172
2,GF ASO,SPF ASO,-1.1585,-3.15590290289401,0.838902902894005,0.714224256771667,35,-1.62203956112676,0.341309832774837
3,GF ASO,SPF WT,0.245499999999998,-1.75190290289401,2.242902902894,0.714224256771667,35,0.343729574671226,0.733106109175685
4,GF WT,SPF WT,0.643454545454544,-1.1964179302128,2.48332702112189,0.657895084454019,35,0.978050392318315,0.502142521206082
5,SPF ASO,GF WT,0.760545454545456,-1.07932702112189,2.6004179302128,0.657895084454019,35,1.1560284800982,0.502142521206082
6,SPF ASO,SPF WT,1.404,-0.479169516530729,3.28716951653073,0.673377087001556,35,2.08501302925497,0.266569386810147
