,Parameter,Coefficient,SE,CI,CI_low,CI_high,t,df_error,p
1,(Intercept),1.1227753359216,0.0736451269387062,0.95,0.970428783609569,1.27512188823363,15.245751926751,23,1.62677844563087e-13
2,MicrobiomeSPF,-0.231104890676348,0.0938794848353702,0.95,-0.425309401443256,-0.0369003799094393,-2.46171877787378,23,0.0217501946310142
3,GenotypeWT,-0.283033539731982,0.0938794848353702,0.95,-0.477238050498891,-0.0888290289650743,-3.0148603843355,23,0.00617108121288073
4,MicrobiomeSPF:GenotypeWT,0.39136309448673,0.129316593001849,0.95,0.123851340219992,0.658874848753468,3.02639503100065,23,0.00600589102361721
