,Level1,Level2,Difference,CI_low,CI_high,SE,df,t,p
1,GF ASO V,GF ASO NAC,NA,NA,NA,NA,NA,NA,NA
2,GF ASO V,GF WT NAC,NA,NA,NA,NA,NA,NA,NA
3,GF ASO V,SPF ASO NAC,-0.780269857142867,-6.93846961465289,5.37792990036716,2.00145000554935,52,-0.389852284583396,0.748112189833225
4,GF ASO V,SPF WT NAC,-3.04003326785715,-9.00268454372088,2.92261800800657,1.93789563493985,52,-1.56872909616287,0.222503552285488
5,GF WT NAC,GF ASO NAC,NA,NA,NA,NA,NA,NA,NA
6,GF WT NAC,SPF ASO NAC,NA,NA,NA,NA,NA,NA,NA
7,GF WT V,GF ASO NAC,NA,NA,NA,NA,NA,NA,NA
8,GF WT V,GF ASO V,1.34301714285714,-4.81518261465289,7.50121690036717,2.00145000554935,52,0.671022078559747,0.631470384804352
9,GF WT V,GF WT NAC,NA,NA,NA,NA,NA,NA,NA
10,GF WT V,SPF ASO NAC,0.562747285714277,-5.59545247179575,6.7209470432243,2.00145000554935,52,0.281169793976351,0.779695978621654
11,GF WT V,SPF ASO V,-5.80136214285715,-11.13451957444,-0.468204711274292,1.73330654921025,52,-3.34699141678109,0.00761907412772187
12,GF WT V,SPF WT NAC,-1.69701612500001,-7.65966740086373,4.26563515086371,1.93789563493984,52,-0.875700473443033,0.52530017816868
13,SPF ASO NAC,GF ASO NAC,NA,NA,NA,NA,NA,NA,NA
14,SPF ASO V,GF ASO NAC,NA,NA,NA,NA,NA,NA,NA
15,SPF ASO V,GF ASO V,7.14437928571429,1.81122185413143,12.4775367172971,1.73330654921025,52,4.12182097215839,0.00203267033098706
16,SPF ASO V,GF WT NAC,NA,NA,NA,NA,NA,NA,NA
17,SPF ASO V,SPF ASO NAC,6.36410942857142,1.03095199698857,11.6972668601543,1.73330654921024,52,3.67165832926157,0.00426826378518308
18,SPF ASO V,SPF WT NAC,4.10434601785714,-1.00176347707245,9.21045551278673,1.65951467626548,52,2.47322068105684,0.062605667200021
19,SPF WT NAC,GF ASO NAC,NA,NA,NA,NA,NA,NA,NA
20,SPF WT NAC,GF WT NAC,NA,NA,NA,NA,NA,NA,NA
21,SPF WT NAC,SPF ASO NAC,2.25976341071429,-3.70288786514943,8.22241468657801,1.93789563493985,52,1.16609138798356,0.373347089103119
22,SPF WT V,GF ASO NAC,NA,NA,NA,NA,NA,NA,NA
23,SPF WT V,GF ASO V,3.95551247619048,-1.31805473388255,9.22907968626352,1.71393938772347,52,2.30784851816981,0.0650000050829095
24,SPF WT V,GF WT NAC,NA,NA,NA,NA,NA,NA,NA
25,SPF WT V,GF WT V,2.61249533333334,-2.66107187673969,7.88606254340637,1.71393938772347,52,1.52426354866806,0.222503552285488
26,SPF WT V,SPF ASO NAC,3.17524261904762,-2.09832459102541,8.44880982912065,1.71393938772347,52,1.85259913027912,0.149183951751475
27,SPF WT V,SPF ASO V,-3.1888668095238,-7.47018145059006,1.09244783154245,1.39145164975702,52,-2.29175538372509,0.0650000050829095
28,SPF WT V,SPF WT NAC,0.915479208333334,-4.12835832903047,5.95931674569714,1.63927593528219,52,0.558465593637681,0.667988572958464
