,mu,sigma,omega
0,1.7475724636503345,0.6237486699430139,0.7370905010325193
1,1.747107215602928,0.6379178547391378,0.6847226146475841
2,2.0222708805760496,0.8280737617809778,0.9002915834987177
3,1.6529599307271707,0.6677197965633622,0.7371704890418506
4,1.7639530161810972,0.6256931304886988,0.7371103583171771
5,1.831305318151553,0.43830512870618205,0.7894737797173486
6,1.914339194558719,0.6549837853810698,0.6847569142330889
7,2.0949489924154756,0.4872239559105038,0.8947550386191456
8,1.8307256767430329,0.5684227855034933,0.9474007547388209
9,1.7341474044562764,0.6481737468822345,0.7371920689001497
10,1.85012922501674,0.6968849475934504,0.8426446977262972
11,2.1758677051409077,0.4229651443529457,0.684682544185505
12,1.9820325596653603,0.5983263986555826,0.7898429426275779
13,1.9805449798030343,0.5088143076477436,0.8947514356996575
14,1.9935235844805914,0.5197515538725616,0.6317178755987725
15,1.9565924157840053,0.4248410526173254,0.7372716756141515
16,1.9071397267889951,0.5412958229158858,0.8421277041591717
17,2.3117151947947314,0.40574734399985074,0.7373802193705286
18,1.7711505350981478,0.6408230074143421,0.7895876191491557
19,2.0072787446811358,0.7679722061922488,0.7924945362294041
20,2.148865354184067,0.6681832670534577,0.8963484322283491
21,1.9132281478075288,0.6524378700912747,0.895107729036967
22,2.093866848744359,0.4773513611117113,0.8421169748178177
23,1.5739866778128233,0.5441159319401121,0.8421067775480163
24,1.7762088128028415,0.5252130064813362,0.5787501449508491
25,1.9880928464884082,0.7213822990662205,0.6856403051527369
26,1.957816021211252,0.5813198696470778,0.7897159608720701
27,1.9701144946374047,0.6049032514767789,0.6847611552918607
28,1.903090988412859,0.6269895976986498,0.789818864513814
29,1.6728287351329467,0.6688517564700575,0.8422291285482284
30,2.063770330073807,0.5230059662703315,0.7369842664680359
31,1.707122545591336,0.660954893508367,0.8422333294100257
32,1.8832471100705976,0.5869561440839138,0.8948107566143053
33,1.8483375849482366,0.8059186549367013,0.792107871537384
34,1.8333990918266658,0.7227645666613792,0.7370014804945989
35,1.9202734262591146,0.5621398592941298,0.894786037029386
36,1.8314006263987952,0.4191044081410563,0.8421052939733678
37,1.9899756772473984,0.7194405887136853,0.5782786843646036
38,1.7706663670287042,0.7072537480020975,0.895192518562949
39,1.8952668258126035,0.4717131432156102,0.7898042984644986
40,1.7812056821076852,0.5580839854813111,0.8947520661102212
41,1.8420313281789433,0.6180823937079195,0.6845698566303088
42,1.9359779244529356,0.7385006144162155,0.7911012741456502
43,1.911493241476179,0.861960410488654,0.7947593003859516
44,1.6809878020870974,0.44326169635203483,0.6846652579375097
45,1.8533269664187682,0.7962878962983185,0.633163327334317
46,1.9447191211127193,0.8037176446000319,0.5284545990553033
47,2.1318033429383485,0.7347194651355796,0.7402481254477266
48,1.7391650408638124,0.5284241022748719,0.8421087698380315
49,1.8575626245325028,0.5433375325771659,0.7366035833545949
50,1.6977355314817504,0.6342869067164084,0.8948074687756497
51,1.7150724531049304,0.45732081782774614,0.9473685184485482
52,1.8070160296424156,0.5194166413533979,0.7364557482575046
53,2.0440177641799027,0.5962242975545105,0.8949982724437429
