,WT_SPF,ASO_SPF,WT_GF,ASO_GF,KruskalWallis p-val,KruskalWallis statistic
WT_SPF,1.0,0.0003861731957673062,0.04549516338279242,0.0007838483372735772,3.027202842717803e-11,51.97826094994
ASO_SPF,0.0003861731957673062,1.0,6.330044156136981e-09,3.059985563370067e-12,3.027202842717803e-11,51.97826094994
WT_GF,0.04549516338279242,6.330044156136981e-09,1.0,0.120196979929436,3.027202842717803e-11,51.97826094994
ASO_GF,0.0007838483372735772,3.059985563370067e-12,0.120196979929436,1.0,3.027202842717803e-11,51.97826094994
