,WT_SPF,ASO_SPF,WT_GF,ASO_GF,KruskalWallis p-val,KruskalWallis statistic
WT_SPF,1.0,0.08647831615924559,0.38061589738695933,0.12088093737725064,0.06380398622398434,7.268878865791193
ASO_SPF,0.08647831615924559,1.0,0.21415228216277266,0.6795796186093196,0.06380398622398434,7.268878865791193
WT_GF,0.38061589738695933,0.21415228216277266,1.0,0.35708032982962357,0.06380398622398434,7.268878865791193
ASO_GF,0.12088093737725064,0.6795796186093196,0.35708032982962357,1.0,0.06380398622398434,7.268878865791193
