,mu,sigma,omega
0,1.4676617755130095,0.7960379058128134,0.9115522504349344
1,1.4889742067046203,0.7039495112577652,0.888984322377116
2,1.641837290801264,0.783750713550348,0.9119104464336785
3,1.437071004844468,0.9863896961320037,0.9143600066434282
4,1.5221759428096777,0.8019291794929041,0.9117215271601561
5,1.4554177900627843,0.8731266339996197,0.9345051520659193
6,1.4180166564883845,0.8932280431569248,0.9123579959663224
7,1.2921466455010908,0.928594669499889,0.8900224219858252
8,1.6234471738382799,0.691454539277428,0.933497866329336
9,1.4652469708871383,0.8023210453731476,0.9560574217448905
10,1.417598253421572,0.8504727862114624,0.9341028005366725
11,1.5673635008542477,0.8088490335267712,0.8896821184694258
12,1.5199482074439645,0.8320391486731475,0.956500299869295
13,1.4928453465614837,0.8824657182441358,0.9125709282434827
14,1.2820814279047152,0.8469647163678878,0.911520784486575
15,1.7151981182009162,0.911607171314102,0.9375776536988498
16,1.6304269912636904,0.8586304699728513,0.9575253171204459
17,1.6740983318547227,0.7957959490593115,0.8899370919607863
18,1.3622297828962393,0.9676247481556087,0.9132801817934911
19,1.4128180763898248,0.8466649327991358,0.956293088377036
20,1.4394530322839236,0.910235231058316,0.9572487834629573
21,1.6233292444839986,0.7977623694628518,0.8897573001770089
22,1.4461105435769024,0.9564015600794608,0.9136800972612171
23,1.362951706624772,0.7893971289940134,0.9780418526935567
24,1.6041817788816506,0.8331732364303681,0.9346422590813892
25,1.5921311922225623,0.8218325991073103,0.8899254080544887
26,1.5127482842899442,0.8946366611552559,0.9574284455306169
27,1.3565553223482805,0.9114318440834444,0.9568311077879261
28,1.5646909721413265,0.8057950844939432,0.8674009468664907
29,1.3370056167203161,0.920149180198599,0.8901038546481695
30,1.5013921275508884,0.725992905685629,0.8890466277330329
31,1.3496239861078319,0.7908203229202666,0.9780316046064009
32,1.495769078193602,0.7650792516139715,0.9781116090227809
33,1.5582074899229408,0.8622880774640767,0.9348617072006232
34,1.5405800523549462,0.6954791461693545,0.9778954737827897
35,1.2979086771397257,0.7417308992943314,0.9334094772575461
36,1.7020123887412464,0.7166813188287998,0.9337278841209157
37,1.5302850217401913,0.8071859888846453,0.978506929767197
38,1.437778105633305,0.871843066196537,0.9789088563456083
39,1.5141056931286305,0.7977374063712607,0.9116666727519462
40,1.4477211224119024,0.723784515975617,0.9779027253685589
41,1.684314040386668,0.7481950801538432,0.9561660099856246
42,1.4969857265388926,0.6685380274062225,0.911157702677274
43,1.5422360239625015,0.6398800205105278,0.9333643751154449
44,1.630953311196281,0.8071006667011233,0.9788898036402172
45,1.4827279623930216,0.853199531531557,0.9999999683533624
46,1.5497464957826226,0.6738125609878457,0.8889596119734656
47,1.494307960433132,0.7482064780747149,0.9557996736947555
48,1.5053636424952772,0.7110744088527142,0.955685317368883
49,1.5454447429856688,0.8115514886143904,0.9118793744769477
50,1.6365443477577581,0.726261817976934,0.9781269308899937
51,1.3889524925536303,0.7954490852377999,0.9336466580786583
52,1.5546639677613914,0.7767547445247407,0.9338361942190433
53,1.7432421355048453,0.7234377463059263,0.9999999683533624
54,1.6345182943881538,0.7506187069769352,0.9338231233477222
55,1.2623550859544699,0.918009267506894,0.9120395787915868
56,1.3932332258181006,0.7950163074727998,0.9558805121077217
57,1.5621941831137984,1.0986682634297449,0.9433234897182
58,1.2422282190577953,0.8758758293938999,0.8893908438572712
59,1.59952825177207,0.92098694987622,0.9587919766117693
60,1.526793262091709,0.7811725322713179,0.978273453283659
61,1.555845384847668,0.9254940773041599,0.9138944814802147
62,1.1947279888931859,0.8248276442508935,0.9335382725677661
63,1.4318625959686113,0.8535146620024587,0.9119373197593402
64,1.2835532274307058,0.7117285073037614,0.8889237377575021
65,1.6331231117367562,1.0964107691081861,0.9000426685809475
66,1.599310701397067,0.9396832904472798,0.9370461112513073
67,1.4480952881991456,0.7750104831925146,0.889173024888336
68,1.5468966107020552,0.9768341610235919,0.9376044375656848
69,1.5623463398926554,0.851523631125345,0.9347092711537038
70,1.2373412938255546,0.8888852194703054,0.889470769641905
71,1.5680132868248244,1.0182707563965656,0.8723810992781027
72,1.501266411351281,0.9102323673602317,0.9131151493552285
73,1.404718861528759,0.7701352255496721,0.8891017043654376
74,1.6353413758062718,0.8268052625842469,0.9347066365838342
75,1.3512883399813262,0.8505575562100831,0.9116853896888669
76,1.7203542177869275,0.863698430471089,0.9807122903248696
77,1.5593556533069504,0.9254114287265615,0.9585058671546779
78,1.4633824519831904,0.7440264378786909,0.9112961289139413
79,1.2835675075749768,0.9627798284088867,0.9794950866016741
80,1.5860961370734783,0.9652283680160626,0.9153956642213567
81,1.5274256852676251,0.7777484037837907,0.933784048144746
82,1.3798765572603682,0.9885749161607118,0.9807374009471513
83,1.3929139697558008,0.7285774813162721,0.9334309011012228
84,1.4729058684156398,0.7170400330855541,0.8890028093553836
85,1.5032985001411352,0.7872604999574538,0.9560324317553783
86,1.334709190535699,1.0502755465563225,0.9596826395820509
87,1.3980784741445775,0.7539568200995692,0.9779482804569951
88,1.5036078578565477,0.7701323332105411,0.9781534822881226
89,1.5817480223195868,0.9045006017515013,0.8913273240124548
90,1.5095742543996213,0.778672728214821,0.9999999683533624
91,1.3387336444917342,0.8185362208690624,0.9114580342961973
92,1.5512934059215884,0.7184950791464499,0.9335205409891444
93,1.510749791296148,0.775019086681184,0.9781971002255773
94,1.6774994976277204,1.0297797874844814,0.9646853080030365
95,1.3565310069162562,0.8470642341122072,0.911671248806183
96,1.6681147232859561,0.627815445782042,0.9999999683533624
97,1.581112224450647,0.7629561383619468,0.9115611784313269
98,1.4318035172188945,0.8513078402652062,0.9341566331961185
99,1.4203573935395981,0.6419318945319192,0.8666801243163513
100,1.50345828955079,0.6910248150247655,0.888967701931006
101,1.4666795909977026,0.6613719248096599,0.9778124718364999
102,1.3510512792322256,0.8185469609481899,0.9114775159062649
103,1.4233084361655066,0.7059417231426977,0.9556293536609038
104,1.5545196093873395,0.8960262224117577,0.8686598334764786
105,1.6302882845207975,0.7471371397361373,0.8893219025222148
106,1.389090412979983,0.9496646468791649,0.9576577052250855
107,1.3058334939582326,0.9542921215277967,0.9572194871728962
108,1.3294498152806278,0.7690561949826895,0.9557104491484122
109,1.5305203679789972,0.8901627987864161,0.9797247228090945
110,1.3903668649870569,0.8306560870043668,0.9338623659326694
111,1.5864547831028315,0.9788560584462042,0.9382144500363162
112,1.441609988913983,0.9590199419635766,0.9137028481976784
113,1.4096875513802392,0.9920532419018024,0.9588187000303526
114,1.3453019504966,0.8282264010974104,0.9559879654875603
115,1.4455633070557221,0.8797149777266327,0.9790526726455939
116,1.4655634233316612,0.7830008371716424,0.9337008131808233
117,1.6371034066597592,0.8656703088007648,0.913181572972603
118,1.495840876526321,0.8193436183064587,0.9118026290810309
119,1.6372615374822725,0.7991268642020669,0.8898263595767985
120,1.3407142886860282,0.9374737175781589,0.8458447250031191
121,1.5643924679567927,0.6464137412616344,0.9778221950983295
122,1.4390340755213018,0.8356061967957286,0.9999999683533624
123,1.6470898289071567,0.7813653786271283,0.934143964123984
124,1.4065279354624642,0.7140941593615094,0.9778595534564508
125,1.451755555854836,0.8008439752817301,0.9782511034823356
126,1.8261559326183965,0.8910640596585433,0.9161095500366541
127,1.4068936057362853,0.8394014502649273,0.933971555010563
128,1.514427476095129,0.8354172142351565,0.9999999683533624
129,1.4942246479160937,0.7603291373019163,0.9558551379179318
130,1.4062940690983123,0.8635175902379673,0.9341986538803196
131,1.3825118048252596,0.8446839990033023,0.9117152427194409
132,1.5949853065757449,0.6483043041055823,0.9999999683533624
133,1.5388239038931157,0.8092271041014149,0.889595556091644
134,1.4836066043261946,0.8783346217530372,0.9569692937206512
135,1.4790607267802864,0.7243978046778349,0.9112504661755723
136,1.3693127404070802,0.7035291908250269,0.8667131270740475
137,1.4791570530433407,0.8865532406567843,0.9793346048908383
138,1.56589700811579,0.7801727688713601,0.9783606805964803
139,1.5099266271748297,0.8860685949683295,0.9795101501347125
140,1.5347128133765418,0.6954488615699188,0.9556667910217894
141,1.321924499081913,0.8933443627386637,0.9999999683533624
142,1.587490893202829,0.7894804953143294,0.9785097845504064
143,1.2846660352595871,0.8579617838267446,0.9338269818803965
144,1.5232096657673349,0.8932137873660042,0.957468419638472
145,1.57484583269585,0.8709858581247693,0.9351191168093012
146,1.7292863889521135,0.9460743158754141,0.8944452569531623
147,1.3510208214538535,0.6996962572705937,0.9111513277096892
148,1.379455863122012,0.8021613251837952,0.9781265775351609
149,1.6669526394641117,0.6760004624800423,0.8668095438355331
150,1.6130902738064732,0.781001723114103,0.9340281248539275
151,1.509936504581656,0.719400410860191,0.955712063859315
152,1.4161585485327228,0.749916545570071,0.8890467910277946
153,1.608261245757229,0.7268446461111819,0.9113960993450212
154,1.5474095917559838,0.8837831375020069,0.8683832269670956
155,1.638676090645651,0.7388050709172866,0.9559799517172495
156,1.6133289651966776,0.6795304241307887,0.9556804399684972
157,1.621869244553081,0.7114376372240119,0.9335714741030614
158,1.5214131821182542,0.8236839285318742,0.9564111024869407
159,1.5678198334459814,0.8223847101531352,0.9788176874098855
160,1.5812269336915634,0.5945821591738213,0.9555668857461147
161,1.5415573480568363,0.9056287067692107,0.9578642958333
162,1.588492509676438,0.7609786368500585,0.9782627521144563
163,1.3476746720279162,0.8571584803358611,0.9117283082809129
164,1.680471523109012,0.7064820298691084,0.933629176400643
165,1.4153567438701575,0.7911871877885377,0.933664365936516
166,1.7921678652532729,0.7218465276763492,0.9117613082490181
167,1.453027613175522,0.8148020849571633,0.9783590859239099
168,1.2933755282188144,0.8365615974993087,0.9337130771652998
169,1.476189104101891,0.6961783165664143,0.8889641898273742
170,1.4564349992263048,0.8865824151536887,0.8901914244703832
171,1.5196222973187274,0.8014921035847407,0.9561848482268945
172,1.5011105276838015,0.8269688867013094,0.9563762920990581
173,1.5340112685813796,0.7550509800488754,0.8891985793440927
174,1.406153068500535,0.9719634210331622,0.9582764491774628
175,1.553782464286846,0.5950089280849354,0.9777873456592062
176,1.6018826551594145,0.8148687128605291,0.8898779597870179
177,1.4908910167580962,0.8129592983196039,0.978444393270743
178,1.5490970286439107,0.8494835833809874,0.9999999683533624
179,1.4937064375666274,0.8046040649728746,0.9116710683751243
180,1.6574877167937645,0.8214403357551003,0.8679733904219809
181,1.5601178197211998,0.6445849176060113,0.9555958789961896
182,1.350508313950394,0.8295361271446774,0.8893072092391042
183,1.36094632638413,0.9860239031870179,0.9136551250378623
184,1.4717996840757728,0.7888375452387582,0.9115145439602941
185,1.327549614488983,0.8301632833528552,0.9337346844443436
186,1.5318114327012973,0.8786202707938887,0.9795111792968251
187,1.3754221514089393,0.6560497808169109,0.933349229109747
188,1.215836563043396,0.7182748652761649,0.9999999683533624
189,1.4766752102864693,0.6396018753654166,0.9777986298930523
190,1.631182954273833,0.7673761839446771,0.9561906219604763
191,1.4220270213317925,0.7839709441420921,0.9336381308358248
192,1.4498435132500327,0.8066404613959901,0.9338207525482513
193,1.4528863026366863,0.8772005891303304,0.9568000398222646
194,1.4596491363770865,0.7809290825950645,0.9559099997254713
195,1.4482918044820376,0.8708443933665602,0.9566929073001275
196,1.5903891276066486,0.82724327205711,0.8899885412012847
197,1.25616788368432,0.762530355830931,0.9334255620248958
198,1.2472413950226946,0.7423393515769354,0.9556154745892999
199,1.3438544861310338,0.9261807527356519,0.8902156538414101
200,1.4639404531354139,0.8439817797211879,0.8452174595565017
201,1.3874685147188008,0.9432947394226933,0.8684510997553434
202,1.7181668784409287,0.7879497923292154,0.9567820895576407
203,1.5688016014628403,1.1267796011412592,0.9451472635351794
204,1.489847014306694,0.7390252583875673,0.9779854612162129
205,1.4096159992254986,0.8086074978767102,0.8670565791701998
206,1.5201546380344935,0.7726940745118662,0.9115048574692586
207,1.7840728709482654,0.753483205315013,0.9565927300305781
208,1.558395289266661,0.9668545707154497,0.9374197957269368
209,1.5724361993156752,0.8199110975620137,0.9565593002251648
210,1.5009324351093163,0.7893216548786739,0.9338084576873228
211,1.4160311194749664,0.7477872559905644,0.9557187101561114
212,1.6059401729612244,0.821848957845978,0.9789835745245776
213,1.4313552429847485,0.9414068163153986,0.9577932729855144
214,1.3053846578607313,1.0068949209956384,0.891388377610808
215,1.3463217760097557,0.9067006463137746,0.9344729151303888
216,1.4992261279952817,0.8190680478016779,0.9562885844809115
217,1.4327295486105343,0.797741222018126,0.9559611655733685
218,1.4839945211847214,0.8406524742935749,0.9564656229088753
219,1.5260850324548778,0.9791905382787959,0.8927814420634821
220,1.5956169475291315,0.8164522509688361,0.9999999683533624
221,1.384754331190313,0.7961032839293425,0.9781030731736343
222,1.5023270782079723,0.7385844267942844,0.9779973672368647
223,1.587307922254181,0.7523752210028258,0.9337357360925078
224,1.7177550839510716,0.7437130509666852,0.9339849735545728
225,1.520636928014702,0.7389693110854828,0.9335648698742604
226,1.4738950198813061,0.8241537637221286,0.9117835328315401
227,1.4365049297983747,0.7113958507152005,0.8889719726071069
228,1.5719611484582525,0.9130228289785166,0.9583023116446739
229,1.363824315630799,0.8553603201264118,0.9999999683533624
230,1.394608538416538,1.0007005100779374,0.958901627832971
231,1.4719989016549,0.659022445926147,0.9111426315706348
232,1.5447525457333813,0.7069530275177018,0.9779295620256785
233,1.5602401663455292,0.7466326992985137,0.9114249509642046
234,1.5090739587712156,0.7618638687580223,0.9114257476569613
235,1.528084445274432,0.7796432932866397,0.9560318275680729
236,1.6610222559476615,0.7542004227523429,0.9116826214058844
237,1.5682856238466387,0.9480742710208301,0.9815633408439249
238,1.4359515835572272,0.7069614566447113,0.9111884253941686
239,1.5039060363028798,0.8751332468141693,0.9347709531461984
240,1.3766189797400894,0.8175084698292231,0.9115149490748277
241,1.5778062148563308,0.7419805951976448,0.9336576533663935
242,1.5087285140689202,0.7650045456797008,0.8892113334266787
243,1.2897776678139656,0.8286265697988329,0.9781264112103079
244,1.4776454664445609,0.8277029038206081,0.911826979276743
245,1.60539300027244,0.8028143299275536,0.9787238301905131
246,1.5767580797867,0.6879874050821182,0.9556764786751492
247,1.3625571829626846,0.8147783431259323,0.9781690486425945
248,1.5693222676428011,0.889719915338784,0.9800022305125102
249,1.2802171208015196,0.7050206481554729,0.9333639662213787
250,1.307051076981596,0.6517790741884925,0.9111197669269384
251,1.5958751073762087,0.7168626351653672,0.911335122730818
252,1.3183348439563616,0.7711223924450447,0.955707640072542
253,1.4432704350501115,0.8564803371027058,0.8675194508144258
254,1.6498097208494817,0.7881628653044587,0.9119890613994458
255,1.5103236686687858,0.7685549484697615,0.8892327255996678
256,1.4489086418879904,0.7041965083881213,0.9999999683533624
257,1.6051863806185402,0.7819559665794935,0.9562520032416935
258,1.5438191091026312,0.7099784185891429,0.9112603952814998
259,1.8195372341100478,0.8207189411880762,0.958226216640415
260,1.363666467929363,0.9969399319055551,0.9362272286704407
261,1.4181359498962154,0.8508539649049102,0.8896268775653778
262,1.5374182305746569,0.8832994359906418,0.9796364536946803
263,1.2942199850634692,0.9334220930624663,0.9791000896042844
264,1.598586710679233,0.8410941420725628,0.8902263105106912
