,Comparison,Z,P_adjusted
1,ASO_GF_A - ASO_GF_V,0.196116135138184,0.42225963373647
2,ASO_GF_A - WT_GF_V,2.4514516892273,0.0213421926674695
3,ASO_GF_V - WT_GF_V,2.25533555408912,0.018084205922254
